ID	Date	Latitude	Longitude	Accuracy	Battery	Interval	Acceleration	Activity	Date	
5107250619	1393377932024	37.873895	-122.2588606	27.0	84	30000	0.95043945	still100	Tue Feb 25 17:25:43 PST 2014	
5107250619	1393377962537	37.8739374	-122.2588486	32.0	84	30000	0.9602051	still100	Tue Feb 25 17:26:03 PST 2014	
5107250619	1393377992546	37.873913	-122.2588573	33.99	84	30000	0.9423828	still100	Tue Feb 25 17:26:34 PST 2014	
5107250619	1393378022534	37.8738794	-122.2589179	39.344	84	30000	0.95849615	still100	Tue Feb 25 17:27:04 PST 2014	
5107250619	1393378052619	37.8739341	-122.2589209	48.0	84	30000	0.94360346	still100	Tue Feb 25 17:27:34 PST 2014	
5107250619	1393378082615	37.873838	-122.2590358	29.913	84	30000	0.95849615	still100	Tue Feb 25 17:28:04 PST 2014	
5107250619	1393378112600	37.8739219	-122.2588651	33.597	84	30000	0.9719239	still100	Tue Feb 25 17:28:33 PST 2014	
5107250619	1393378142669	37.8738608	-122.2590385	30.705	84	30000	0.9643555	still100	Tue Feb 25 17:29:04 PST 2014	
5107250619	1393378172713	37.8738423	-122.2589587	25.972	84	30000	0.9799805	still100	Tue Feb 25 17:29:34 PST 2014	
5107250619	1393378202738	37.8739246	-122.2588611	33.937	84	30000	0.93481445	still100	Tue Feb 25 17:30:04 PST 2014	
5107250619	1393378232809	37.8739117	-122.2588347	30.0	84	30000	0.95043945	still100	Tue Feb 25 17:30:43 PST 2014	
5107250619	1393378262804	37.8738909	-122.2588858	31.6	84	30000	0.9423828	still100	Tue Feb 25 17:31:04 PST 2014	
5107250619	1393378292836	37.8738467	-122.2591182	29.664	83	30000	0.94531244	still100	Tue Feb 25 17:31:34 PST 2014	
5107250619	1393378322855	37.8738198	-122.2590866	25.836	83	30000	0.95556635	still100	Tue Feb 25 17:32:04 PST 2014	
5107250619	1393378352908	37.8738932	-122.2589838	34.0	83	30000	0.95556635	still100	Tue Feb 25 17:32:34 PST 2014	
5107250619	1393378383520	37.8738942	-122.2588933	31.101	83	30000	0.9475097	still100	Tue Feb 25 17:33:05 PST 2014	
5107250619	1393378413550	37.8739615	-122.2588357	36.617	83	30000	0.93505853	still100	Tue Feb 25 17:33:35 PST 2014	
5107250619	1393378443582	37.8739596	-122.2588314	36.865	83	30000	0.97094715	still100	Tue Feb 25 17:34:05 PST 2014	
5107250619	1393378473609	37.8739028	-122.2588545	30.0	83	30000	0.97094715	still100	Tue Feb 25 17:34:35 PST 2014	
5107250619	1393378503611	37.8739463	-122.2588384	36.033	83	30000	0.96411127	still100	Tue Feb 25 17:35:05 PST 2014	
5107250619	1393378533654	37.8739017	-122.2588508	32.883	83	30000	0.9536133	tilting100	Tue Feb 25 17:35:35 PST 2014	
5107250619	1393378563674	37.873859	-122.2589229	28.622	83	30000	0.96533203	tilting100	Tue Feb 25 17:36:06 PST 2014	
5107250619	1393378593726	37.8738392	-122.2589586	35.136	83	30000	0.96118164	still60in_vehicle26unknown13	Tue Feb 25 17:36:35 PST 2014	
5107250619	1393378623731	37.8739254	-122.2588651	33.668	83	30000	0.9570312	still60in_vehicle26unknown13	Tue Feb 25 17:37:05 PST 2014	
5107250619	1393378654544	37.8739073	-122.2588703	32.959	83	30000	0.9382325	still51in_vehicle41unknown7	Tue Feb 25 17:37:35 PST 2014	
5107250619	1393378685530	37.8738814	-122.2588722	35.0	83	30000	0.915039	still69unknown23in_vehicle7	Tue Feb 25 17:38:06 PST 2014	
5107250619	1393378715514	37.873864	-122.2589349	32.0	83	30000	0.95068365	still85in_vehicle7unknown7	Tue Feb 25 17:38:37 PST 2014	
5107250619	1393378745512	37.8739149	-122.2588608	31.0	83	30000	0.94458014	still77unknown15in_vehicle7	Tue Feb 25 17:39:07 PST 2014	
5107250619	1393378775520	37.8738989	-122.2588697	34.0	83	30000	0.94458014	still92in_vehicle7	Tue Feb 25 17:39:37 PST 2014	
5107250619	1393378805606	37.8738537	-122.2589432	27.119	83	30000	0.94458014	still54unknown30in_vehicle15	Tue Feb 25 17:40:07 PST 2014	
5107250619	1393378835617	37.8738897	-122.258877	27.0	83	30000	0.94750977	still62unknown30in_vehicle7	Tue Feb 25 17:40:37 PST 2014	
5107250619	1393378866531	37.8739382	-122.2588419	35.595	83	30000	0.9519043	still69unknown23in_vehicle7	Tue Feb 25 17:41:07 PST 2014	
5107250619	1393378896540	37.8739546	-122.2588229	37.331	83	30000	0.94580084	still69unknown23in_vehicle7	Tue Feb 25 17:41:38 PST 2014	
5107250619	1393378927518	37.87393	-122.2588447	35.217	83	30000	0.9519043	still62unknown30in_vehicle7	Tue Feb 25 17:42:09 PST 2014	
5107250619	1393378957613	37.8739091	-122.2588551	30.0	82	30000	0.9519043	still92in_vehicle7	Tue Feb 25 17:42:39 PST 2014	
5107250619	1393378987599	37.8738939	-122.2589222	29.01	82	30000	0.9519043	still69in_vehicle15unknown15	Tue Feb 25 17:43:09 PST 2014	
5107250619	1393379017595	37.8739499	-122.2588465	35.552	82	30000	0.930664	still53in_vehicle23unknown23	Tue Feb 25 17:43:39 PST 2014	
5107250619	1393379048457	37.8738495	-122.258886	31.29	82	30000	0.94531244	still61unknown38	Tue Feb 25 17:44:09 PST 2014	
5107250619	1393379078494	37.8738641	-122.2589699	35.302	82	30000	0.9445801	still62unknown30in_vehicle7	Tue Feb 25 17:44:39 PST 2014	
5107250619	1393379108503	37.8739064	-122.2589134	40.756	82	30000	0.9624024	tilting100	Tue Feb 25 17:45:10 PST 2014	
5107250619	1393379138629	37.8739006	-122.2588943	34.0	82	30000	0.97949225	still69unknown20in_vehicle9	Tue Feb 25 17:45:40 PST 2014	
5107250619	1393379168609	37.8739987	-122.2587397	27.0	82	30000	0.9514161	still69unknown20in_vehicle9	Tue Feb 25 17:46:10 PST 2014	
5107250619	1393379198590	37.8738988	-122.2589028	30.483	82	30000	0.9628907	still66in_vehicle18unknown15	Tue Feb 25 17:46:40 PST 2014	
5107250619	1393379228651	37.8739103	-122.2588844	32.0	82	30000	0.94287115	still66in_vehicle18unknown15	Tue Feb 25 17:47:37 PST 2014	
